epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3918.96,1.44849,1.1437,1.16499,0.47003,0.36483,0.37269,0.22468,1.41716,1.13449,1.13564,0.03226,0.03226,0.03226
45,4002.05,1.44041,1.15319,1.17729,0.49324,0.35714,0.37876,0.22749,1.41235,1.13143,1.13252,0.03208,0.03208,0.03208
46,4150.71,1.43056,1.13903,1.16423,0.48189,0.36514,0.37602,0.22638,1.41937,1.13337,1.13417,0.0319,0.0319,0.0319
47,4314.46,1.44278,1.13207,1.16627,0.48535,0.35832,0.37364,0.22664,1.41851,1.14099,1.13471,0.03172,0.03172,0.03172
48,4396.42,1.43413,1.12678,1.16955,0.48899,0.36223,0.38003,0.23223,1.40077,1.12381,1.12812,0.03154,0.03154,0.03154
49,4477.79,1.43136,1.13441,1.16666,0.49435,0.36541,0.38335,0.23525,1.3976,1.13292,1.12688,0.03136,0.03136,0.03136
50,4557.25,1.41728,1.10713,1.15099,0.47693,0.36268,0.37472,0.22761,1.41286,1.13072,1.12889,0.03118,0.03118,0.03118
51,4637.85,1.41982,1.1151,1.15879,0.48442,0.3637,0.37986,0.23097,1.40273,1.1317,1.12762,0.031,0.031,0.031
52,4721.92,1.42886,1.11748,1.16321,0.50044,0.36312,0.38629,0.23449,1.4024,1.1081,1.12464,0.03082,0.03082,0.03082
53,4802.25,1.44319,1.12623,1.16521,0.48856,0.36794,0.38247,0.23317,1.40431,1.11683,1.12701,0.03064,0.03064,0.03064
54,4986.11,1.39964,1.10375,1.15922,0.51507,0.3778,0.397,0.24182,1.38696,1.09941,1.1205,0.03046,0.03046,0.03046
55,5169.61,1.44418,1.12725,1.15743,0.50081,0.368,0.38525,0.2357,1.3953,1.11085,1.12288,0.03028,0.03028,0.03028
56,5253.85,1.4223,1.1111,1.16006,0.52009,0.37375,0.39921,0.24369,1.38737,1.09401,1.11936,0.0301,0.0301,0.0301
57,5343.29,1.42548,1.10289,1.16533,0.49351,0.37773,0.3897,0.23647,1.39503,1.10081,1.12246,0.02992,0.02992,0.02992
58,5498.45,1.4498,1.12845,1.16943,0.50186,0.38656,0.39974,0.2435,1.38438,1.08841,1.11849,0.02974,0.02974,0.02974
59,5578.32,1.41949,1.11453,1.1511,0.50421,0.38523,0.40014,0.24367,1.38152,1.08685,1.11604,0.02956,0.02956,0.02956
60,5658.69,1.40899,1.08228,1.15455,0.49486,0.38911,0.40097,0.24367,1.37787,1.0838,1.11516,0.02938,0.02938,0.02938
61,5737.86,1.42543,1.10965,1.15392,0.493,0.38291,0.39607,0.24182,1.38742,1.09276,1.117,0.0292,0.0292,0.0292
62,5817.59,1.41557,1.09317,1.15864,0.50938,0.37765,0.39207,0.24018,1.38633,1.09792,1.11684,0.02902,0.02902,0.02902
63,5901.92,1.38363,1.07539,1.15168,0.50193,0.37887,0.39343,0.23983,1.37929,1.08954,1.11473,0.02884,0.02884,0.02884
64,5983.29,1.4121,1.10382,1.159,0.5009,0.38538,0.39743,0.2433,1.37739,1.08593,1.11454,0.02866,0.02866,0.02866
65,6062.51,1.39627,1.08021,1.15301,0.51317,0.37601,0.39755,0.24398,1.37398,1.08172,1.11149,0.02848,0.02848,0.02848
66,6145.26,1.40432,1.07705,1.14041,0.51171,0.38443,0.40286,0.24621,1.3725,1.07872,1.11265,0.0283,0.0283,0.0283
67,6226.13,1.41263,1.08549,1.14786,0.52357,0.3844,0.40582,0.2481,1.36969,1.07107,1.10902,0.02812,0.02812,0.02812
68,6307.55,1.39107,1.06396,1.14176,0.50953,0.38832,0.4064,0.24764,1.37609,1.07171,1.11316,0.02794,0.02794,0.02794
69,6387.94,1.3946,1.07137,1.13963,0.52205,0.38501,0.40675,0.25152,1.36488,1.07273,1.10933,0.02776,0.02776,0.02776
70,6470.13,1.40838,1.08159,1.1583,0.50793,0.38805,0.40403,0.24803,1.37256,1.07714,1.113,0.02758,0.02758,0.02758
71,6550.76,1.40474,1.07585,1.14268,0.51683,0.39854,0.41045,0.25163,1.36845,1.0672,1.10893,0.0274,0.0274,0.0274
72,6632.07,1.389,1.06617,1.14677,0.51737,0.38921,0.40636,0.25015,1.3679,1.07084,1.10913,0.02722,0.02722,0.02722
73,6712.19,1.41594,1.0771,1.14427,0.52315,0.38658,0.41058,0.25096,1.36736,1.06739,1.10681,0.02704,0.02704,0.02704
74,6799.15,1.38026,1.04853,1.1386,0.52366,0.38603,0.40901,0.25022,1.36743,1.06579,1.10752,0.02686,0.02686,0.02686
75,6879.38,1.40262,1.06324,1.13963,0.52087,0.39206,0.41042,0.25068,1.36039,1.05731,1.10633,0.02668,0.02668,0.02668
76,6959.32,1.38125,1.05287,1.13238,0.5077,0.39519,0.40841,0.24844,1.36337,1.06497,1.10664,0.0265,0.0265,0.0265
77,7039.93,1.40075,1.06155,1.13366,0.51462,0.39547,0.41048,0.25158,1.36279,1.06286,1.10406,0.02632,0.02632,0.02632
78,7121.05,1.39506,1.08028,1.13691,0.52511,0.39588,0.41477,0.25429,1.35928,1.05901,1.10438,0.02614,0.02614,0.02614
79,7201.09,1.38551,1.05165,1.14179,0.52833,0.39243,0.41449,0.25475,1.3567,1.05693,1.10236,0.02596,0.02596,0.02596
80,7279.47,1.37858,1.04905,1.13754,0.52599,0.39372,0.41371,0.25366,1.3579,1.05382,1.10351,0.02578,0.02578,0.02578
81,7360.17,1.4016,1.06181,1.14459,0.52565,0.39366,0.41375,0.25392,1.35942,1.05564,1.10427,0.0256,0.0256,0.0256
82,7439.27,1.39561,1.05634,1.13527,0.52296,0.39972,0.41819,0.25752,1.3527,1.04597,1.10114,0.02542,0.02542,0.02542
83,7519.11,1.37539,1.04551,1.13467,0.52379,0.39893,0.41645,0.25629,1.3558,1.05029,1.10179,0.02524,0.02524,0.02524
84,7602.09,1.37638,1.04187,1.13102,0.52045,0.40043,0.42004,0.25897,1.35358,1.04621,1.10061,0.02506,0.02506,0.02506
85,7682.66,1.39364,1.05108,1.13771,0.52058,0.40341,0.41706,0.25642,1.35414,1.05184,1.1007,0.02488,0.02488,0.02488
86,7762.79,1.3766,1.05298,1.13744,0.52865,0.40318,0.41982,0.25925,1.34752,1.04548,1.09946,0.0247,0.0247,0.0247
87,7919.26,1.37738,1.04277,1.13952,0.52541,0.39774,0.41783,0.25699,1.35157,1.04697,1.10104,0.02452,0.02452,0.02452
88,8001.24,1.37022,1.03553,1.13143,0.53263,0.40207,0.41891,0.25788,1.3495,1.04656,1.09876,0.02434,0.02434,0.02434
89,8085.4,1.38571,1.04953,1.13792,0.52554,0.40058,0.42001,0.25935,1.34715,1.04134,1.09833,0.02416,0.02416,0.02416
90,8164.62,1.38526,1.05565,1.13895,0.5318,0.39377,0.41994,0.25945,1.34495,1.04398,1.09736,0.02398,0.02398,0.02398
91,8244.91,1.37517,1.03867,1.13755,0.5348,0.40039,0.42336,0.26123,1.34462,1.03381,1.09741,0.0238,0.0238,0.0238
92,8326.06,1.35678,1.01906,1.12925,0.53398,0.40147,0.42605,0.26221,1.34425,1.03316,1.09677,0.02362,0.02362,0.02362
